previous_text,current_text,emotion,context_type
very disappointed in him    gonna have to sleep it off....,@helga_hansen Darn - I just realised &quot;pull the other one&quot; would have been a *far* better response to your name suggestion,surprise,emotion_shift
"#NHL Not a fan of either team, my head says Detroit, my feet say the Pens my heart doesn't care   GO KINGS in 2009/2010","@DamienCripps if hobo and i come next week, we're buying you all a drink.",surprise,emotion_shift
In human anatomy bored out of my mindddd!  someone save me.,"getting ready, waiting for cor, picking up josh, movies &amp; out to dinner - then trailer perhaps? baccck to work tomorrow",worry,emotion_shift
Counting the minutes when my dad's g-friend is leaving,white-water rafting in the tripics,fun,emotion_shift
"haaah, making the card for mothers day,  and listening to musicc",watching SNL with guess Justin Timberlake...OMG! He is too funny!  hahahah,surprise,emotion_shift
"@SlovakBrewer Yeah, I wanted to have some  I was bottling, so it's sanitized and all good. It tastes like those choc. oranges.",@agent242 Nothing yet,neutral,emotion_shift
@monster7of9 You're welcome,I feel like I have to throw up.,boredom,emotion_shift
@CinnamonCloud well you'll ether have to buy the DVD or wailt till july to see the Secret Episode!!   Episode 13!,Excited for Rove tonight! Jennifer Garner and Gina Riley!,happiness,emotion_shift
"Google Wave presentation: http://bit.ly/2ehfov  I'm not very impressed. It's nice, but it's not really for me",hates getting wasted,hate,emotion_shift
Off to the gym by myself!  no fun!,- Gig was awesome! Am exahausted and so dont want to revise  Boo Hoo!,enthusiasm,emotion_shift
@Impala_Guy Would luv to hear music too but iï¿½m out of batteries - the tv plays besides but i think this is some kind of vampire movie,@jimrcummings too kind Jim too kind brother,neutral,emotion_shift
well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it's worth the wait!,@MetroplexBaby: thx for the follow!,love,emotion_shift
@klm I knew that. I attended an innovation seminar at Picnic 2007.,I hate tomtom. City traffic sucks,hate,emotion_shift
is trying to make this sunday last 48hours,Sorting out Twitter issues....very frustrated that you can't talk to someone and they respond slowly to issues - capacity the challenges,sadness,emotion_shift
@yellowpeel The sight of it made my afternoon,"@kev_watson   Sorry address was wrong. where I put samuel in the address, it should be just sam. I am having a stupid brain day today.",sadness,emotion_shift
@gotenkslovesme haha yeh lol maybe.  i missed the last roadshow cause of rain,"@edziardo : Hi, there! I'm sorry for not telling you  Let's meet up! With @yayi_meirizka too. You promised to treat us! XD",enthusiasm,emotion_shift
Waiting for the bus back from cripple creek to pick up the twizzler town seems kinda quiet tonite    *rolynn719*,Youtube isn't working...and I wanted to watch Britains Got Talent.  I'm debating about having a pity party.,boredom,emotion_shift
feels really weird today.,@bethharperwalsh @TaiLi22 @thesolutions @hippiekat from g's to gents season 1,relief,emotion_shift
@TarQuianHesa Yeah they are! So stop making fun of me! I gotta get new ones,"@ianiv No, it's not",empty,emotion_shift
@michaelpietsch He's totally ignoring me!! How sad!  I am heartbroken,@rssanborn games? Just wanted to clarify,empty,emotion_shift
"Assfuck, &quot;I'm sorry&quot; roll. Okay I gave in.  I'm such a sucker.  http://twitpic.com/677xt",well its hot as heck right now,hate,emotion_shift
Sitting waiting for an exam to start,fun times. just broke my usb stick.. like literally broke it..,sadness,emotion_shift
"????? ,my latest obession.",I'm ACTUALLY on Skype but ssshh don't tell anyone.,happiness,emotion_shift
@xHayleeey no.1 dont really mean anything to me anymore :L it did when good old top of the pops was on every sat or friday or something,UUUUUGH!!! I HATE I MISSED @WAYNEDASTAR INTERVIEW!!! I WASNT AT HOME!!! DARN!!!,anger,emotion_shift
@Certain_Songs I know  Especially since the summer is such a boring TV time to begin with.,all these follow fridays make me feel really unpopular,worry,emotion_shift
has a headaaaaaaaaaaaache,Just saw Star Trek with the boo.. Now off to bed! Never again will I go to a Vallejo theater. hAppy mOthErs dAy to all!! I love my mommy,surprise,emotion_shift
"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack","Off to mass, Happy Mum's day to your mums",love,emotion_shift
"@anna_007 Don't worry, they'll get bored of it! Just hang in there and don't give in!",@originalgabriel Sure thing!,worry,emotion_shift
@devontebrown its cuz you love me. dont make me sad,I have to give up my beloved Red Sox tickets!! Argh! Meeting was just scheduled in CA...,boredom,emotion_shift
@QueenQH D= indeed,@mismile when are u gonna host Saturday night live!! i've been waiting for like 2 yearsssssss!!,enthusiasm,emotion_shift
@kdelbonis Well I can't get Cupcake because I can't connect to T-Mobile's network because my SIM card is corrupted,@jaysun093  yes it is. Sucks don't it,hate,emotion_shift
working on diffusing that irritation but this traffic sure isn't helping  mother F! it's always real bad the days th@ i help plan stuff,"&quot;Completely dishwasher safe, except that the pattern might come off.&quot; Blue Coat humour at its best  Three cheers for Viz",fun,emotion_shift
@loribartolozzi I just found out 5 minutes ago  mama said his speech is still slurred but he seems to be doing ok,me knows what to be tested on all the exam subjects except for english. damn davis.,empty,emotion_shift
@2Mbs: to triste,home from taking Nick home - a little lighter in pocket after being flashed by a speed camera,relief,emotion_shift
I'm dragging myself out of the low point. Slowly. And with wine to assist. Prob not v sensible but these lows don't hit very often.,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww,anger,emotion_shift
wishing I got fij,Someone out there will soon  be the lucky recipient of my 5000th Tweet. Oh wait. Shit. THIS was it!,surprise,emotion_shift
http://twitpic.com/67bpd - This store at the airport is as close as we'll get to WDW during this trip.,Good morning world!  haha had fun at the movies last night ;D and school now... Hmm new shoes make it better  http://tinyurl.com/dfggwj,happiness,emotion_shift
rec game....trying not to cry...the pain is to much..i need him...can't lose him &lt;/3...my heart is breakingg,@Artemis_Neith James just doesn't take a bad pic! Colossal loveliness! (wondering if I spelt colossal right...),surprise,emotion_shift
just doin some jammin,rught brb on me ipod. if i randomly go off its cos me internet breaks,anger,emotion_shift
@laccboner man I can cut my hair now. I mean not with cory.  procuts here I come.,"@xomorganjane aw, sad  I was looking forward to seeing you!",sadness,emotion_shift
ah midday - great time for breakfast,@tommcfly thanx Tom  love u too !!!!!!!!!!!!!!!!!!!!!!! have a great day,love,emotion_shift
@kezzawezz i want 2 but i dinna hink it'll get shown in elgin n got nae1 2 go with(n),"To make a long day short--I did nothing. =D well, I had some friends over they just left (3:55am) We have been drinking since 9.  Smashed",love,emotion_shift
Trader Joe's &quot;sushi&quot; is a fail.,@InvisibleOrchid Thank you  I'd share my sundae with you but it's really late and @dr_crane says we shouldn't tell people where we are,neutral,emotion_shift
@ChrisEfs i tryed that the other day but they werent giving up what they were using!,it's realy boo0o0o0o00oring ..my book is on the side &amp; i'm not studyin for sure...,boredom,emotion_shift
CAN'T SLEEP TONIGHT . Oh see ya! Bye,is bored. my BFF doesn't want to hang out,boredom,emotion_shift
@jordanknight I have now officially resigned myself to never knowing what Tink! means....,is bored. my BFF doesn't want to hang out,boredom,emotion_shift
Can't wait for the next twitter.,@gillianre i can barely walk- they're twice the usual size  @ least its now&amp; not in NY ;) ive requested my song;) u retquestin owt 2nite?X,boredom,emotion_shift
thanks so much for the discount code. looking forward to trying your pads out,chillin an havin a drink,relief,emotion_shift
"@tamtamdoll no, New orleans.. been here since katrina ..",Watched The Rescuers Down Under with Dru and ate Mickey d's. This is how Disney sequels *should* be done,enthusiasm,emotion_shift
"awww, watching 18 y.o. britney on snl. she's so young and cute and really funny! i miss this britney",company is offering 2nd round of VSS RIF!,enthusiasm,emotion_shift
i want to join drama practice today but i can't,@mileysupportrs1 Definitley Miley,neutral,emotion_shift
@MelzieC I saw the show listing and saw it was on a Wednesday!!!!,"ebay should just die! after not using my account for 4 years, i cant unlock it. and their support is dead, aka: auto-hello-scripts",hate,emotion_shift
@caitlinpasko awesome  have you played there before?,@handlewithcare  Nice start to the holiday!,relief,emotion_shift
@sroxy good morning...did you break 5 digits yet?,@bencollieruk No because why would it say &quot;New gift services&quot; on the page.. HA!,surprise,emotion_shift
Only one more day of Jay Leno  que sad!,http://twitpic.com/67hw5 - Session almost over,relief,emotion_shift
@blackheartbunny - nope,rblpnqte @sheryonstone: &quot;sheesh I am sending one up to you @ladypn.  I think you could use it  lol&quot; RB DELUX... ? http://blip.fm/~5z36j,sadness,emotion_shift
Shopped til i dropped....come bac sunshine i miss u,@duncm I'm a bit Ben's Thai-ed out,neutral,emotion_shift
@Documentally he was always a bit smug as a whistle-blower. The 9-11 denial stuff is pretty spectacular too,"@harisn Damn! Lights off, its presentation time.",empty,emotion_shift
"Just been out to try to catch a swarm, gone into a roof gable end   Set up a bait hive an hoping for the best at the moment","Also, I designed the banner for http://mudroomboston.com/ - pretty stinkin' cute no?",love,emotion_shift
@StanGill Uh.... what does that mean?,i'm going to pig out on ice cream and potato chips,fun,emotion_shift
@BeebeONE no you dont,@alenadoma apparently a looong time seeing as they seem to be everywhere except LA,surprise,emotion_shift
#snl...you've gotten better  keep it up,"@woopow8 Hi, what are you a consultant for?",empty,emotion_shift
(@MeowMeowHotMix) My chick wont shut up  Will only stop chirping if i sit with the bloody thing.,"i hate snoring. remind me if my future husband ever snores, we're getting a divorce.",hate,emotion_shift
home from school had the shitest day today,@kkmommy9802  I'm trying to get myself moving this morning!,enthusiasm,emotion_shift
"A bunny was eating my moms plants. Naturally, she started shooting. No more bunny.","Back at it, but had a GREAT weekend as a buffer",fun,emotion_shift
Running around town with Kathleen....she's leaving me for a month..,cupcakes gave me heartburn,worry,emotion_shift
I can't comment directly to someone...... and I'm here all alone,d? ?oï¿½n mï¿½nh s? coi cï¿½i nh?c k?ch nï¿½y 3 l?n ?? n?m b?t ???c g?n ??y ?? tinh th?n vï¿½ cï¿½c khï¿½a c?nh c?a nï¿½,empty,emotion_shift
"I also think that I'm talking to myself now. Okay I need to get to bed. BTW, I miss my brothers.",@storrao Thank you  respects to our designer @luismvaz,happiness,emotion_shift
It's a beautiful nice day and I'm stuck inside!,@ZomberellaMcFox not a fan,hate,emotion_shift
"A bunny was eating my moms plants. Naturally, she started shooting. No more bunny.",@james_stjohn That's what we hope for!,enthusiasm,emotion_shift
tonights a great night for sports. the yanks and lakers are both playing. i want to watch the games but im still scared to drink.,Going to work.  Could use some happy pills,surprise,emotion_shift
Mom is wearing shrug I bought her 2morrow...I can't wait 2 c her n it..cute,"we went, we bought, we conquered! and we came back with the most delicious custard croissant",surprise,emotion_shift
Lï¿½ mï¿½y theo lï¿½n giï¿½ tï¿½i bay kh?p tr?i,@RachelDouglas I am totally trying to get back my PCW too,worry,emotion_shift
"@ElectraX ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)",@gnxmusic But I am with you... I hate doing it... can't we just make music and magically not have to worry about money  awe... sigh...LOL,hate,emotion_shift
I am so sick and tired of this on and off rain,I love my memories. It's almost like re-reading my favourite book all over again,love,emotion_shift
Good morning my sexy twitter how's yall doing??? I'm gd but it's like 7:49am n I still wanna sleep,Feeling sick at stomach today,worry,emotion_shift
finding out a song you had no idea was a cover is actually indeed that .... and then thinking that that is awesome makes my day.,@dayBdayPolaroid @theteganandsara follow?,neutral,emotion_shift
I miss my daddy so much.,Also with the not driving part i could afford a laptop. Also living with a roommate i would save even more,relief,emotion_shift
Yea!  Headed home to change and head over to Pelham.  Sad thought... suposed to be heading over there for the NKOTB concert...,@briancash Yum...wish we could be there today. I have a cold and don't want to infect others...so we will miss our Friday session.,fun,emotion_shift
@apostropheme i'm a real BOY goddamit!!!!!!!!!!!!!! guh. apostro. i feel sad. the library lady thinks i'm stupid. SHE'S STUPID.  j,@RealHughJackman Wolverine is awesome.. love it! your such a great actor..,love,emotion_shift
tweeterizing from a mobile,@wolf_gregor Great avatar,enthusiasm,emotion_shift
aaawww im soooOOooo tired today.. i dont feel good.. i dont wanna go to work wah..  but yeah im goin to work in a few mins. til closing..,"@Gertrudesteinjr That's kinda cute, to be honest",love,emotion_shift
Logging it out. Thank you Kiana...you're something else ma! masha'Allah.,"Visiting the grandparents in Manhattan, and dropping off my sister for the week! I wish I had an excuse to be so tired today..",fun,emotion_shift
"@johncmayer &quot;arrest her&quot; or, anything ending in -est that can be done to her.",just got home.. downtown was dead.. plus im kinda under the weather and i gotta get up for work tomorrow,sadness,emotion_shift
@lauraduhaime Hello How are you,I think i need some new friends,sadness,emotion_shift
@_supernatural_ http://twitpic.com/4w8cw - Mishaaaaaaaa!!!,im so fed up!!!...,happiness,emotion_shift
@DarrenRoberts I love Dawn Chorus noisier the better miss Church Bells too...crazy I know...Was going for a cycle with a friend..not now,Mom is wearing shrug I bought her 2morrow...I can't wait 2 c her n it..cute,enthusiasm,emotion_shift
is so tired ive walked 6.05 kilometres today,Sooo the Children's Museum was closed for a fund raiser when we got there.  annoying,empty,emotion_shift
George is sad because he can't go for a car ride with his dad  http://apps.facebook.com/dogbook/profile/view/6877274,@jaztwitta ily babe. Sweet dreams.,love,emotion_shift
@lilyroseallen yes........there are many cool things americans cannot watch,"Off to meeting in Lincoln Square, bummer, no more free parking",empty,emotion_shift
@epiphanygirl Wish I was in Dallas.. Can I still say ow!? lol Hey... u spelled my name wrong  It's all good. Thanks for #FF love,@kraez2001 http://twitpic.com/67w20 - Jordan baby was talking to me!!!! I wish I coulda met you!! ugh,surprise,emotion_shift
@rosieperez yes! I can't find one 4 my Curve 8900,What do you think I'm doing at the moment? Yeah you guessed it  http://www.phoenixfm.com/listen-now.php,fun,emotion_shift
my knee is killing me  im off to bed!!,@BrittanyASnow omgsh i know  i'm dealing with that rite now. its no fun!,hate,emotion_shift
this is how we do itttt,@andyclemmensen have you seen the game on the website?! awesomness!!! go on msn,happiness,emotion_shift
"@Tracybelle I'd hang with you, but... Tennessee.",@mosapp just say no reeesee cup,worry,emotion_shift
Soooo bummed I'm missing the blockparty again! Haven't been able to get the app to listen on my iPhone!!,@Nnascenzi but cover your sneezes with a tissue for love of God! My germaphobe-ness has significantly increased since joining healthcare,hate,emotion_shift
Sooo tired and have a headache-all self inflicted of course! Good times though,watching W. with jas. i love my brother he's my best friend,love,emotion_shift
big ups sister #1 for calling in too,About to present my project.,happiness,emotion_shift
@femiknitzi Three-quarters through I believe. Will not finish tonight.  I blame errands and a certain loud at a bookstore.,I just got twitter for my palm  &lt;3,love,emotion_shift
"@FelixKev hey Kev - keep with it. It seems crap at first but will def be worthwhile! Add LOADS of people, much more interesting",omg J.O.N.A.S. is my new fave show &lt;3 one guess as to why hahahha,fun,emotion_shift
"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.","Just got home, no rosie surprise of smiles hugs &amp; kisses waiting for me.",surprise,emotion_shift
I jus dropped my dog  and im tall.,@KeriLyn2980 Totally  plain and simple.. i hate all thoes bridezilla shows.. if i was the groom i'd be running far far away!,hate,emotion_shift
@THE_WOCKEEZ I wanna go! But I won't be there  I'm sure that the show will be great!!,Ahhh I am sooo happy Ashley Tisdale is in Germany but I am not in Oberhausen...  But i will show it in the TV at 8 o' clock yeah I love it,love,emotion_shift
i bit my tongue sooo bad...it's swollen.,@verwon was that sass I detect?  As long as it isn't back sass! Haha,relief,emotion_shift
"@BleedBlacknGold meee.. I have a Penguin wallpaper on the backround on my phone, computer, ps3, ipod touch and on my twitter",I'm sad Twits!  I'm going to miss @epiphanygirl musiq soulchild and anthony hamilton! Ugggghhhh I LOVE them!,sadness,emotion_shift
"@CustomCreation - We drank ours away, May Day Bank Holiday today",my head feels sooooooooooo much better,happiness,emotion_shift
its funny. i'm kinda sad on my last day,happy mother's day mummy  i love you. xo,love,emotion_shift
@kfb1991 I can't really say much because none of it is set in stone.. but I'm planning a charity concert for Cystic Fibrosis,"left school just now. my new dress broke, the strap ripped off",hate,emotion_shift
"@Danielindra actually,we r going there in june with my office colleagues,paid by company","@zombiegrrl99 thanks, i feel a lot better now.. but it hurt like hell!!!  good luck with the lousy student writing.",relief,emotion_shift
Ok so any ideas of what to do tomorrow to make it fun? Cause i dont know what to do,@johndpoole Not here in Stamford.,empty,emotion_shift
@Loulou_de_B You have to email her - she only gets what people want in so they aren't on the site. Shame about the trousers,@BigCatJared   What did I do to you!  sheesh,anger,emotion_shift
"@nova_caine I saw it, it made me sad",@alibalijeweller I'm come and try to find you and be your fan too,love,emotion_shift
Gooooood morning loves.,Dilated pupils suck. The computer screen hurts my eyes so I won't be on the comp for a while.,worry,emotion_shift
oh yah her and angel came and harrassed me and tried to break in my house!! lol  Burgen,@roe4ever1 Happy Mother's Day ~ Did you watch SNL?  If not U missed a hoot with Jimmy Fallon,fun,emotion_shift
@danceashleylove i hope you feel better way soon!,Ugly betty was sooooooo sad!!!,sadness,emotion_shift
today will be productive: gym now....lots and lots of writing later,got new sneaks today..can't wait to break them in..stupid rain,boredom,emotion_shift
@miguellf we want ot protect Moleskineï¿½ notebooks worldwide. That is all.,@fawcett94 - I'm not letting Reach sink. Thats for sure. I'm still presenting and joint HON! Owens Mon 8pm-10pm &amp; I'm Sat 2pm-4pm,enthusiasm,emotion_shift
"wow, serious hard time sleeping. on a decongestant and its keeping me wide awake. I JUST WANNA SLEEP","@ohmoss curing le hangover from an epic night, bruised 'n battered from a hectic go-karting session. pretty satisfied thank you very much",happiness,emotion_shift
"@medic60 all work, no play.","@chrisgwilliams hahaha. I'm driving, so I leave roundabouts when I wake up tomorrow. Arrive proximately 5 hrs from then.  See ya tmw!",enthusiasm,emotion_shift
@cla_alfradique No fun   Well hopefully you don't have much more to go...,"@kixsal The Star Trek in IMAX wasn't in 3D, but it was huge on the screen.  Still worth watching.",sadness,emotion_shift
Ugh that walmart was so hot and white  is it wrong that I can see how people become agoraphobics?,sitting down doing nothing after being stuck in the house for 4days i had all intentions of doing something but it never works out,empty,emotion_shift
@hannybfirst wEe ArR SoWbUr i PrOmIsS. tHe StYoOpId FlYiNg ThInG hAzZuNt KuM OwT aGaNe. iTt Iz hYdInG sUmWaRe aNd LaRfFiNg aTt Us.,"@johnlacey had someone tell me tonight &quot;there are only 2 states to be in, QLD and Pissed&quot;",surprise,emotion_shift
"@LMcreation yes, Mondays are hard!  Hope you have a great day too &amp; have the opportunity to get out at some point into the sun","urgh, over slept for work, still done no revision and im SO snappy today. having a total fat day too",worry,emotion_shift
@_Glitter_  kk but 4 sum reason its not lettin me vote 4 them,@ericbolling Where's Dani Babb?,worry,emotion_shift
Now every Saturday till 8/4 for work.  sucks. And no Friday or Monday off for July 4th either.,Well I'm going to try and sleep now I have to be at work at 9 tomorrow  and then the weekend starts!!!!  http://myloc.me/1XTs,enthusiasm,emotion_shift
@Avas_Writer aww no which one?,"@doudoubebe There are 3 other Drs. in the office and only mine does this  It drives me nuts, especially when it is an appt. for my kids.",hate,emotion_shift
In about 2 hours from now i will find out how good the STAR TREK Film from J.J. really is. A Ticket costs 9 Euro and i hope its worth it,And I am off to my sister's to partyyyy!,happiness,emotion_shift
on the way to nanny  school starts tomorrow! one step closer to being a teacher!,@eboogiee smh Your whin with that comment,anger,emotion_shift
@sam_burnett Firmly embedded in her Hampstead constituency then,bali!! can wait for it,happiness,emotion_shift
@DougBenson  NO YOU ARE EVIL I WANT ONE!!   #flaxandfiberfriday,My siblings left me alone.   Bored. (:|,sadness,emotion_shift
"@AchtungMusic haha. I know. Why are you up so early, then?",@JustcallmeMac your making me jealous now  I want one! How long have u guys been married?,enthusiasm,emotion_shift
Appreciation lunch at work. Good food! But sucks being here on my day off lol,Breaking the daily build broke my daily plan as well,empty,emotion_shift
@adriandanganan CLAY AIKEN? GET ME AN AUTOGRAPH!,correction...a hot coco in my NKOTB cup  what a sweety!!!!,relief,emotion_shift
@Adam_Lambert Fans from outside the US wish they could vote for Adam too!,"Late night fun with friend, and early morning wake ups make Zeb a very grumpy girl",fun,emotion_shift
@sloanyxxx Thanks,Oh how today sucks....,worry,emotion_shift
@DFS_Ellen and she's 9.5 and a rescue.. bad hips.    She deserves pampering!  She's full of life though!!,"Just noticed the new sidebar on twitter.com, looks nice",neutral,emotion_shift
